BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
1137;ARGENOVA I;32;ALTURA,PROC.CONGELADOR;35,00;655,0;02180
2713;ARGENOVA XXII;32;ALTURA,PROC.CONGELADOR;37,70;663,1;02714
2207;PENSACOLA I;31;ALTURA, FRESQUERO;25,20;379,9;5804
2128;ANITA;32;ALTURA,PROC.CONGELADOR;30,90;765,1;02100
1578;ESTRELLITA;11;RADA O RIA, FRESQUERO;15,38;296,6;4094
2460;SIEMPRE DON JOSE MOSCUZZA;32;ALTURA,PROC.CONGELADOR;38,00;1127,5;02257
2486;SIN LIMITE;21;COSTEROS, FRESQUERO;14,87;0,0;2531
0;GERMAN;11;RADA O RIA, FRESQUERO;0,00;0,0;03072M
0;GRECO;11;RADA O RIA, FRESQUERO;0,00;0,0;01314M
2304;RIA MAR;11;RADA O RIA, FRESQUERO;12,98;197,3;01775
0;VALENTINO;11;RADA O RIA, FRESQUERO;0,00;0,0;02839
2183;PACU II;11;RADA O RIA, FRESQUERO;10,95;259,0;02612
1917;MADRE SELVA I;11;RADA O RIA, FRESQUERO;12,95;324,0;02597
0;MIS AMORES I;11;RADA O RIA, FRESQUERO;0,00;0,0;02570M
0;ETERNO JORGE PADRE I;11;RADA O RIA, FRESQUERO;0,00;0,0;02715
1617;FRANCY;11;RADA O RIA, FRESQUERO;13,60;0,0;2021
0;ATLANTICO I;11;RADA O RIA, FRESQUERO;0,00;0,0;02541M
0;MELLINO II;31;ALTURA, FRESQUERO;38,91;794,6;5099
0;YAEL;11;RADA O RIA, FRESQUERO;0,00;0,0;02861
1012;7 DE AGOSTO;11;RADA O RIA, FRESQUERO;9,90;200,0;01641M
0;VIRGEN DE ITATI;11;RADA O RIA, FRESQUERO;9,88;200,0;02621
0;DIEGO AGUSTIN;11;RADA O RIA, FRESQUERO;0,00;0,0;02841
0;ENZO I;11;RADA O RIA, FRESQUERO;9,86;0,0;02653M
0;DON DANIEL;11;RADA O RIA, FRESQUERO;0,00;0,0;03043
0;EL PADRINO;11;RADA O RIA, FRESQUERO;0,00;0,0;01082M
0;ROCIO G;11;RADA O RIA, FRESQUERO;9,98;140,0;0587
0;JORGE DANIEL;11;RADA O RIA, FRESQUERO;9,86;311,4;02592
0;ENRICO I;31;ALTURA, FRESQUERO;0,00;0,0;03091
0;BETTY I;11;RADA O RIA, FRESQUERO;0,00;0,0;03021
1149;ARGENOVA XIV;32;ALTURA,PROC.CONGELADOR;52,30;1351,7;6010
0;PROMARSA III;32;ALTURA,PROC.CONGELADOR;35,84;1061,7;02096
1931;MALVINAS ARGENTINAS;31;ALTURA, FRESQUERO;28,40;457,7;5704
2717;BUENA PESCA;32;ALTURA,PROC.CONGELADOR;39,10;1479,2;01475
0;LI EM;11;RADA O RIA, FRESQUERO;0,00;0,0;02760
0;ATLANTICO 1;32;ALTURA,PROC.CONGELADOR;39,95;0,0;03162
2734;API VI;32;ALTURA,PROC.CONGELADOR;36,35;1201,3;02812
1194;BAHIA DESVELOS;32;ALTURA,PROC.CONGELADOR;37,05;790,6;6162
2738;MAR MAR═A;32;ALTURA,PROC.CONGELADOR;37,80;1248,3;02960
1138;ARGENOVA II;32;ALTURA,PROC.CONGELADOR;38,50;1167,8;02177
1143;ARGENOVA VI;32;ALTURA,PROC.CONGELADOR;35,00;655,0;02179
1649;GLADIADOR;11;RADA O RIA, FRESQUERO;12,95;140,0;589
2177;OTRO SOL;11;RADA O RIA, FRESQUERO;13,45;0,0;01106M
0;MARIA CANDIDA;11;RADA O RIA, FRESQUERO;0,00;0,0;02658M
2501;STEFI;21;COSTEROS, FRESQUERO;6,70;70,0;1897
0;COCODRILO I;11;RADA O RIA, FRESQUERO;0,00;0,0;02545M
0;SIEMPRE CORMORAN;11;RADA O RIA, FRESQUERO;0,00;0,0;03147M
2263;PUENTE CHICO;32;ALTURA,PROC.CONGELADOR;37,00;1174,5;6528
2340;SAN ANDRES APOSTOL;31;ALTURA, FRESQUERO;54,56;2268,5;5900
2745;CHIYO MARU N║ 3;32;ALTURA,PROC.CONGELADOR;52,80;936,9;02987
1863;LEAL;31;ALTURA, FRESQUERO;27,45;601,3;5914
2265;PUENTE SAN JORGE;32;ALTURA,PROC.CONGELADOR;35,30;1001,3;6095
2578;TUYU PESCA I;11;RADA O RIA, FRESQUERO;16,00;0,0;2411
0;TUYUPESCA II;11;RADA O RIA, FRESQUERO;0,00;0,0;0772M
2668;XEITOSIÐO;32;ALTURA,PROC.CONGELADOR;51,72;1502,0;6307
2580;UCHI;32;ALTURA,PROC.CONGELADOR;54,23;1551,7;5149
1242;CABO TRES PUNTAS;31;ALTURA, FRESQUERO;31,43;720,8;6031
2344;SAN ANTONIO.;11;RADA O RIA, FRESQUERO;13,65;210,7;4454
0;BENJAMIN;11;RADA O RIA, FRESQUERO;0,00;0,0;02838M
1799;LA CRISTINA;11;RADA O RIA, FRESQUERO;6,70;60,0;1534-M
1383;DAMARIS;11;RADA O RIA, FRESQUERO;6,70;0,0;1965
0;STELLA MARYS;99;NO IDENTIFICADO;0,00;0,0;03099M
1812;LA GAVIOTA;11;RADA O RIA, FRESQUERO;6,28;60,0;01682-M
0;DON REINALDO;11;RADA O RIA, FRESQUERO;0,00;0,0;02226M
0;EL AUDAZ;11;RADA O RIA, FRESQUERO;0,00;0,0;02533-M
1384;DAMIAN;21;COSTEROS, FRESQUERO;7,00;0,0;1956
2282;RAPTOR;11;RADA O RIA, FRESQUERO;6,70;40,0;01507-M
